Appelation courante;Description;Historique/Anecdotes;Commune;Entité;Adresse actuelle;Latitude;Longitude;Photographies;r_Photographies
Monument aux aviateurs américains;Monument aux aviateurs US, morts le 24 décembre 1944. Inauguré le 24 septembre 1950. Modifié en 1994 et en 2019.;Non vérifié;Ohey;Ohey;Rue de Reppe;50.42792;5.09793;Ohey-Cat11.2-MonumentsAviateurs-AF-01Ohey-Cat11.2-MonumentsAviateurs-OG-01;Ohey-Cat11.2-MonumentsAviateurs-AF
Monument aux morts;""" Erigé au centre d’un enclos, entre l’ancienne église et le nouvel édifice religieux, monuments aux morts en calcaire qui reprend la forme classique d’un obélisque orné de symboles patriotiques. Faces gravées des noms des soldats morts pour la Patrie, des victimes et des prisonniers des deux Grandes Guerres. Edicule couronné d’une urne funéraire, symbole du deuil. CS ""IPIC : 92097-INV-0079-01";"Côté droit :
VICTIMES DE L'OCCUPATION / TIMSONNET A. FUSILLE . HAILLOT 19. 8. 1914 / DEPAYE J. DECEDE . HAILLOT 23.3.1913 / VICTIMES DE LA GUERRE 1940 . 1945 / PRISONNIERS DE GUERRE / MALHERBE J. A. M. G. ALLEMAGNE   2. 1945 / ROUMONT R. C. F. G. ALLEMAGNE  3. 1945
(Autres inscriptions, voir photos.)

Le monument fut conçu dans une carrière de Spontin. Les pierres taillées furent acheminées à Haillot à l'aide de quatre chevaux de labour. Inauguré en grande foule en 1923, un groupe de jeunes filles y représentait les villes martyres (Dinant, Andenne,...). Il prend place sur le site de l'ancien cimetière. Le plan d'aménagement du parc du monument fut réalisé en 1949 par l'architecte F. Dony. 
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, pp. 169-172.

";Ohey;Haillot;Place de l'église;50.440537;5.149145;Haillot-Cat11.2-MonumentsMorts-AF-01Haillot-Cat11.2-MonumentsMorts-AF-02Haillot-Cat11.2-MonumentsMorts-AF-03Haillot-Cat11.2-MonumentsMorts-AF-04Haillot-Cat11.2-MonumentsMorts-AF-05Haillot-Cat11.2-MonumentsMorts-AF-06Haillot-Cat11.2-MonumentsMorts-AF-07;Haillot-Cat11.2-MonumentsMorts-AF
Monument aux morts;"Grande stéle verticale au sommet arrondi, en calcaire, appliquée sur le pignon droit de l'ancienne maison communale à l'aide de crochets et deux corbeaux, portant épitaphes. Apposée, plaquette en marbre blanc gravé du mot ""COMBATTANTS "". Au-dessus, finement ciselés dans la stèle, un drapeau , une épée, une palme et un casque entrelacés. ";LA COMMUNE DE PERWEZ / A SES / VAILLANTS DEFENSEURS / 1914 [symboles : cfr. description] 1918 / COMBATTANTS / (colonne 1) : ABRAHAM FERNAND / DEJARDIN ANDRE / DEVILLERS MARCEL / DUPOND JEAN / GARNIER GEORGES - (colonne 2) : GOUVERNEUR AUGUSTE / HENROT ARMAND / LAMBOTTE LEON / MARTEAUX LOUIS / RONVEAUX OLIVIER / DEPORTES EN ALLEMAGNE / (colonne 1) : ABRAHAM AUGUSTE / BEAUJEAN OCTAVE / BOINON FELICIEN / BOURGEOIS NAZER / CAMUS ALPHONSE / CHARLIER GEORGES / CHAVAIS DESIRE / CHAVAIS EMILE / DAMSIN LEON - (colonne 2) : DEBOIS FERNAND / DEJARDIN JOSEPH / DEJARDIN LEON / DEVILLERS ARMAND / DEVILLERS JOSEPH / DEVILLERS NARCISSE / DORVAL JULES / FOLICHON DESIRE / GALER OCTAVE / HENAUX ULYSSE - (colonne 3) : LAURENT MARCEL / PIRLOT MARCEL / POUSSEUR JOSEPH / QUOIDBAGH ALFRED / RICHARDEAU NAPOLEON / SANZOT PAUL / SCHUERMANS ALBERT / THIOUX CAMILLE / VIERSET MAURICE / MORTS DES SUITES DE LA DEPORTATION / (colonne 1) : THIANGE JOSEPH 18-4-1917 / MICHEL GASTON 27-4-1917 - (colonne 2) : GARNIER ALFRED 18-4-1919 / GARNIER FERNAND 2-8-1921 / CHARLIER ALFRED FUSILLE A ANDENNE 21-8-1914 / COMBATTANTS MORTS POUR LA PATRIE / 1940 - LIGOT ALBERT [croix sur palmes] GAUTHIER ARTHUR - 1945       ;Ohey;Perwez;Rue du Village, 31, bte 3;50.454274;5.172844;Perwez-Cat11.2-MonumentAuxMorts-AF-01Perwez-Cat11.2-MonumentAuxMorts-PG-01Perwez-Cat11.2-MonumentAuxMorts-PG-02;Perwez-Cat11.2-MonumentAuxMorts-AF
Monument aux morts 1914-1918  -  1940-1945;""" Légèrement à l’écart du centre du village, cimetière enclos de murs en brique, centré sur un monument commémoratif érigé par la commune d’Ohey à ses glorieux enfants morts pour la Patrie lors des deux Guerres mondiales, orné à l’arrière de la Flamme éternelle (...) ""IPIC : 92097-INV-0098-01 Monument entouré de 4 séries de 4 bornes côniques reliées par des chaînes. Ces bornes étaient jadis situées devant l'église d'Ohey.";"Côté 3 : A LA MÉMOIRE DE /
(colonne de gauche) : JULES LIBION / ADJUDANT SECRÉTAIRE D’ÉTAT-MAJOR /5ME D.A. CROIX DE GUERRE AVEC PALME / MÉDAILLE DU ROI ALBERT, DE L’YSER, / DE LA VICTOIRE COMMÉMORATIVE ET / MILITAIRE DE 1ERE CLASSE, DÉCÉDÉ / À OHEY LE 28-5-1923 / GUSTAVE MALHERBE + / SOLDAT DE 1ERE CLASSE AU CORPS DE / TRANSPORTS CROIX DE GUERRE AVEC / PALME, MÉDAILLE DU ROI ALBERT, DE / L’YSER, DE LA VICTOIRE COMMÉMORA- / TIVE, TUÉ À WULPEN LE 10-7-1917 / CAMILLE MATAGNE / SOLDAT DE 1ERE CLASSE A.F.N. DÉCÉDÉ / À HAILLOT LE 27-9-1922 /
(colonne de droite) : FERNAND BALTHASAR + / DÉCÉDÉ À OHEY LE 20-7-1918 / AIMÉ DELBRUYÈRE + / DÉCÉDÉ À OHEY  LE 16-11-1917 / MAURICE DIET / DÉCÉDÉ À OHEY LE 2-10-1918 / GEORGES LECLERCQ / DÉCÉDÉ À GÜBEN ALLEMAGNE / LE 30-1-1917 / OPTAT WARNIER / DÉCÉDÉ À L’HÔPITAL VIRCHOW / À BERLIN LE 11-4-1917 / DÉPORTÉS EN ALLEMAGNE, CHEVALIERS DE / L’ORDRE DE LÉOPOLD II AVEC RAYURE D’OR
(en bas au centre) : ADOLPHE MALHERBE / FUSILLÉ À ANDENNE LE 21-8-1914
Les noms de Gustave Malherbe, Fernand Balthasar et Aimé Delbruyère sont suivis d’une croix pour signaler qu’ils « reposent ici ».
Au pied du monument, sur une dalle :
1940 - 1945
MORTS AU CHAMP D’HONNEUR / DISTAVE ARMAND + LE 26-5-1940 / DOSOGNE MAURICE + LE 10-5 -1940 / WILMET ALBERIC + LE 19-5-1940 / PRISONNIERS DE GUERRE / ET PRISONNIERS POLITIQUES / DÉCÉDÉS EN ALLEMAGNE / PUFFET GUSTAVE + LE 11-8-1940 / BOUCHAT MARCEL + LE 28-11-1942 / ETIENNE ALBERT + LE 12-4-1945 / FURNEMONT ALBERT + LE 3-4-1945 / RONVEAUX CAMILLE + LE 21-5-1945
VICTIMES CIVILES / DOSOGNE AUGUSTE + LE 25-6-1944 / DUMONT HONORÉ + LE 17-5-1940 / LÉONET JULES + LE 25-6-1940 / BRISBOIS ROSALIE + LE 19-4-1944 / DUBOIS RENÉE + LE 19-4-1944

Côté 4 : flambeau en relief
1940 - 1945 
BALAND JEAN / + LE 28-11-1944 / DES SUITES DE MALADIE / CONTRACTÉE AU FRONT
Au pied du monument, plaque commémorative  avec photo-porcelaine du défunt en uniforme
";Ohey;Ohey;Rue Marteau + cimetière;50.439998;5.12969;Ohey-Cat11.2-MonumentMorts-AF-01àOhey-Cat11.2-MonumentMorts-AF-07;
Orgue de l'église Notre-Dame de l'Assomption ;"Voir le relevé du 17 août 1994 dans le document en annexe tiré de : Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, pp.106, 107. Eglise Notre-Dame de l'Assomption : "" Ponctuant le centre du village, église paroissiale construite en 1870-1871 selon les plans de l’architecte Jean-Lambert Blandot, à proximité de l’ancienne église devenue trop petite.(...) ""IPIC : 92097-INV-0001-02";""" Facteur : E.F. Walcker
Date de construction : 1913
Historique : l'orgue de Haillot est actuellement à l'état d'abandon. ""
Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, p.106. ";Ohey;Haillot;Place de l'église;50.4408;5.149181;;
Orgue de l'église Saint-Lambert;"Voir le relevé du 5 décembre 1994 dans le document en annexe tiré de : Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, pp.222, 223. Eglise Saint-Lambert : "" Pointant le centre du village au sein de l’ancien cimetière, édifice de tradition classique élevé en grès sur un soubassement calcaire, sur une butte rocheuse à la fin du 18e siècle. (...) Vers 1893, édifice réaménagé par l’adjonction d’une travée et d’une tourselon les plans de l’architecte Louis Lange. (...) ""IPIC : 92097-INV-0042-02";""" Facteur : Benoît Marchand
Date de construction : 1994
Historique : L'orgue avait autrefois une console séparée signée ""Slootmaekers Frères, Bruxelles"". La console centrale en fenêtre préexistait. La composition était identique à l'exception que le cornet ne comptait que 4 rangs. Selon E. Dresse, facteur qui l'entretenait, la trompette proviendrait de Statte (Cavaillé-Coll), après avoir été utilisée chez les soeurs de Maredret. L'orgue était tourné vers le jubé, dos au mur latéral, laissant apparents 3 vitraux, et libérant le jubé. (Source) Le buffet est fort semblable à celui de Franière. L'orgue était précédemment sur la tribune dans le fond de la nef. Après des travaux de protection contre la mérule, l'orgue restauré par Benoît Marchand, est réinstallé dans le choeur. (Source) ""
Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, p.222. ";Ohey;Perwez;Rue curé Binet, 25;50.452983;5.171269;;
Orgue de l'église Saint-Pierre;"Voir le relevé du 17 août 1994 dans le document en annexe tiré de : Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, pp.220, 221. Eglise Saint-Pierre : "" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""IPIC 92097-INV-0052-02";""" Facteur : Maurice Delmotte
Date de construction : 1930
Historique : Salomon Van Bever rentra en 1914 un devis pour un orgue de 12 jeux répartis sur 2 claviers avec 2 jeux en transmission à la pédale, prix : 7.500 F. Il semble bien que ce devis ne fut pas mis à exécution. (Source) L'instrument de Delmotte fut inauguré par l'organiste Verrees le 1er mai 1930. Maurice Duruflé y donna un concert le 27 mai 1932 et Charles Tournemire le 21 juin 1934. (Source) La construction de l'orgue coûta 105.000 Fr. La console fut électrifiée par Gomrée en 1979. (Source) ""
Roland SERVAIS (coord.), Bertrand COUVREUR, Orgues de Wallonie, MRW éditions, vol.3, t.5, 1997, p.220. ";Ohey;Ohey;Place Roi Baudouin, église;50.435667;5.120934;;
Panneaux d'allège de l'ancienne maison Rosoux;Deux panneaux d'allège en terre cuite ocre situées en façade principale sous les fenêtres du 1er étage, de part et d'autre de la travée centrale.;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux (…) Structurée par des pilastres d’angle bagués au rez-de-chaussée, façade abondamment travaillée, jouant sur l’effet chromatique des matériaux et le décor de terre cuite formant, à l’étage, les panneaux d’allège et le tympan où s’enlacent les lettres A et L. "" 
IPIC 92097-INV-0104-03  =>  Erreur dans la notice de l'IPIC : lettres G et L

L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat14.6-PanneauxAllègeMaisonRosoux-AD-01Ohey-Cat14.6-PanneauxAllègeMaisonRosoux-AD-02;Ohey-Cat14.6-PanneauxAllègeMaisonRosoux-AD
Petite croix  de la Chapelle Saint-Mort;Croix en fer forgé située sur le toit du chœur, plus petite et plus sobre que celle située sur la flèche.;""" A un croisement de route, chapelle composite d’une nef d’une travée reliée par
des pans courbes à une abside semi-circulaire précédée d’une travée droite
légèrement plus basse. Nef en grès percée dans l’axe d’une porte cintrée sur
montants à queues de pierre dont la clé de remploi est datée « S.M.P.P. NOUS /
1621 ». Au-dessus, petite niche en plein cintre portant sur la base « St Mort PP
Nous / 1793 », date de la nef. Oculus et clocheton en brique surmonté d’une
courte flèche de 1904. Choeur en moellons de grès sur soubassement en calcaire, presque entièrement recouvert de plaques de zinc, qui peut remonter à 1621 par son volume trapu et ses petites fenêtres courbes. A l’intérieur, sous l’autel, mégalithe qui selon la légende aurait été l’oreiller et le siège du saint décédé à cet endroit. Edifice religieux qui connaît encore de nos jours une vénération particulière. CS "" 
IPIC : 92097-INV-0039-02";Ohey;Haillot;Rue Saint-Mort et rue de la Chapelle + au croisement;50.460778;5.144437;Haillot-Cat2.1-Croix2ChapelleStMort-AF-01Haillot-Cat2.1-Croix2ChapelleStMort-AF-02;Haillot-Cat2.1-Croix2ChapelleStMort-AF
Petits chapiteaux de l'ancienne maison Rosoux;En façade arrière, deux petits chapiteaux en terre cuite jaune somment les pilastres d'angle.;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux (…) "" 
IPIC 92097-INV-0104-03

L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.

";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat18-PetitsChapiteauxMaisonRosoux-AD-01Ohey-Cat18-PetitsChapiteauxMaisonRosoux-AD-02Ohey-Cat18-PetitsChapiteauxMaisonRosoux-AD-03;Ohey-Cat18-PetitsChapiteauxMaisonRosoux-AD
Pierre pour la fabrication du fromage;Pierre taillée en creux par une cuvette peu profonde et des sillons permettant l'égouttage de la matière vers une goulotte (cassée);Voir description;Ohey;Ohey;Rue Brionsart, 134;50.43104;5.08679;Ohey-Cat18-PierreFabricationFromage-AF-01Ohey-Cat18-PierreFabricationFromage-AF-02Ohey-Cat18-PierreFabricationFromage-OG-01;Ohey-Cat18-PierreFabricationFromage-AF
Pigeonnier du n°14 rue curé Binet;Entrée de pigeonnier établie en haut de la dépendance jouxtant le logis côté rue. Courte aire d'envol et trois percements  dans la maçonnerie de grès, aujourd'hui obturés.   ;Pas d'information trouvée;Ohey;Perwez;Rue curé Binet, 14;50.452259;5.171655;Perwez-Cat15.2-PigeonnierCuréBinet14-AF-01Perwez-Cat15.2-PigeonnierCuréBinet14-AF-02;Perwez-Cat15.2-PigeonnierCuréBinet14-AF
Pigeonnier du n°197 rue de la Source;Situé au pignon d'une maison, aujourd'hui abandonnée, pigeonnier à deux ouvertures en briques précédé d'une dalle en grès faisant piste d'envol.  ;Pas d'information trouvée;Ohey;Haillot;Rue de la Source, 197;50.450842;5.149799;Haillot-Cat15.2-PigeonnierSource197-MT-01           ;
Pigeonnier du n°23 rue curé Binet;Pigeonnier installé en haut d'un tour, qui semble ancienne, accolée à la maison;Pas d'information trouvée;Ohey;Perwez;Rue curé Binet, 23;50.452909;5.171083;Perwez-Cat15.2-PigeonnierCuréBinet23-PG-01Perwez-Cat15.2-PigeonnierCuréBinet23-AF-01Perwez-Cat15.2-PigeonnierCuréBinet23-AF-02;Perwez-Cat15.2-PigeonnierCuréBinet23-PG
Pigeonnier du n°23 rue du Village;Entrée de pigeonnier au pignon d'une dépendance jouxtant le logis. Aire d'envol confortable et deux percements dans la maçonnerie de grès.    ;Pas d'information trouvée;Ohey;Perwez;Rue du Village, 23;50.453518;5.172421;Perwez-Cat15.2-PigeonnierVillage23-AF-01Perwez-Cat15.2-PigeonnierVillage23-AF-02;Perwez-Cat15.2-PigeonnierVillage23-AF
Pigeonnier du n°259 rue Marteau;Munie d'une courte piste d'envol, baie de pigeonnier rectangulaire pratiquée dans le pignon d'un petit bâtiment annexe, à croupettes et poinçons, parallèle à la rue Marteau, à gauche de l'entrée de la cour de l'ancienne ferme.   ;Pas d'information trouvée;Ohey;Ohey;Rue Marteau, 259;50.438778;5.123471;Ohey-Cat15.2-PigeonnierMarteau259-AD-01Ohey-Cat15.2-PigeonnierMarteau259-AD-02Ohey-Cat15.2-PigeonnierMarteau259-AD-03;Ohey-Cat15.2-PigeonnierMarteau259-AD
Pigeonnier du n°63 rue Pierre Froidebise;En haut de l'annexe qui jouxte la maison, à droite, pigeonnier ouvert par trois trous carrés dans la maçonnerie de grès jaune, précédés d'une aire d'envol en pierre calcaire de taille soignée. Maison datant de 1893 reprise à l'Inventaire du Patrimoine Immobilier Culturel sous la référence 92097-INV-0108-01 ;"Maison natale de Pierre Froidebise musicien-compositeur né à Ohey le 15 mai 1914 et décédé à Liège le 28 octobre1962 . Son père Ernest Froidebise (1867-1959) est pharmacien. C’est un des notables du village, impliqué dans la vie sociale, il est président de la fanfare. Il se livre à la recherche pharmaceutique et mettra au point de multiples spécialités tant pour la médecine humaine que pour la médecine vétérinaire. Il réalise notamment dans son laboratoire des analyses pour les médecins du village. Lui et son épouse, Hélène Dutillieux, ont fait construire cette maison qui est entourée d’un grand jardin jouxtant alors celui du presbytère. 
Source : Plaquette de l'exposition dédiée à Pierre Froidebise, mai 2014, p.5.";Ohey;Ohey;Rue Pierre Froidebise, 63;50.435463;5.122775;Ohey-Cat15.2-PigeonnierPierreFroidebise63-AD-01Ohey-Cat15.2-PigeonnierPierreFroidebise63-AD-01;Ohey-Cat15.2-PigeonnierPierreFroidebise63-AD
Pilastres de la ferme de Petit Wallay;""" Isolée au milieu des terres, ferme clôturée en brique et pierre calcaire du milieu du 19e siècle où le corps de logis de style néo-classique retient l’attention. (...) A l’entrée, remploi d’élégants pilastres classiques en pierre calcaire, avec vases, de la 1re moitié du 18e siècle. (...) ""IPIC : 92097-INV-0041-02 Rem : les grilles  sont  de facture récente. ";"La ferme de Petit Wallay faisait partie de la vaste propriété de la famille Van der Straeten, dont les de Monge (propriétaires actuels du château de Wallay) sont les héritiers. 

Dans la cour de cette ferme, il y avait un puits circulaire surmonté d'un treuil et d'une petite toiture. Il fonctionnait encore au temps de l'exploitation de la propriété par la famille Duffert.
Témoignage oral : Albert Franchimont";Ohey;Ohey;Rue Bois d’Ohey ,322;50.43509;5.10476;Ohey-Cat18-PilastresFermePetitWallay-OG-01Ohey-Cat18-PilastresFermePetitWallay-OG-02;Ohey-Cat18-PilastresFermePetitWallay-OG
Plaques de dévotion sur le choeur de la chapelle Saint- Mort;Sur le chœur de la chapelle, nombreuses plaques de zinc portant des inscriptions manuscrites en remerciement à saint Mort. Certaines sont anciennes (1931,...).;""" A un croisement de route, chapelle composite d’une nef d’une travée reliée par
des pans courbes à une abside semi-circulaire précédée d’une travée droite
légèrement plus basse. Nef en grès percée dans l’axe d’une porte cintrée sur
montants à queues de pierre dont la clé de remploi est datée « S.M.P.P. NOUS /
1621 ». Au-dessus, petite niche en plein cintre portant sur la base « St Mort PP
Nous / 1793 », date de la nef. Oculus et clocheton en brique surmonté d’une
courte flèche de 1904. Choeur en moellons de grès sur soubassement en calcaire, presque entièrement recouvert de plaques de zinc, qui peut remonter à 1621 par son volume trapu et ses petites fenêtres courbes. A l’intérieur, sous l’autel, mégalithe qui selon la légende aurait été l’oreiller et le siège du saint décédé à cet endroit. Edifice religieux qui connaît encore de nos jours une vénération particulière. CS "" 
IPIC : 92097-INV-0039-02";Ohey;Haillot;Rue Saint-Mort et rue de la Chapelle + au croisement;50.460778;5.144437;Haillot-Cat18-ExvotoChapelleStMort-AF-01àHaillot-Cat18-ExvotoChapelleStMort-AF-08;
Pompe à eau à la chaussée de Ciney;En léger retrait de la voirie, pompe discrète dont le mécanisme incomplet est fixé sur une épaisse planche de bois, elle-même arrimée au mur d'un petit bâtiment parallèle à la voirie.    ;""" Lorsque notre famille habitait à la chaussée de Ciney dans les années 1930, Maman venait rincer le linge à cette pompe. "" 
Témoignage oral : Annie Dermiens";Ohey;Ohey;Rue de Ciney + entre les n° 60 et 62;50.434115;5.124509;Ohey-Cat1.3-PompeChéeCiney-AD-01Ohey-Cat1.3-PompeChéeCiney-AD-02Ohey-Cat1.3-PompeChéeCiney-AD-03Ohey-Cat1.3-PompeChéeCiney-AD-04Ohey-Cat1.3-PompeChéeCiney-AD-05;Ohey-Cat1.3-PompeChéeCiney-AD
Pompe à eau de la place Roi Baudouin;""" Prenant place entre la maison communale et l’église, pompe en fonte du 19e siècle sortie de l’atelier du plombier J. Distave d’Ohey comme le mentionne le socle quadrangulaire monté sur une base en calcaire. Imitant une colonne, fût cannelé sommé d’un amortissement en forme de vasque. Bec cracheur mais bras actionnant le mécanisme malheureusement absent. CS "" IPIC 92097-INV-0103-01 Il s'agit d'une pompe en fonte à corps large de style néo-classique. A l’intérieur, il y avait un mécanisme de pompe aspirante-refoulante, actionné jadis par un bras. La pompe est installée au-dessus d’un puits. Sous le ""bac à fleurs"" sis à l'arrière de la pompe se trouve la chambre de visite. Devant la pompe, bac en pierre aux angles arrondis, d'origine et évacuation munie d’une grille. Abords pavés par des dalles quadrangulaires de tailles variées, cernées par une bordure (agrafes).";""" Le 8 novembre 1911, le Collège d’Ohey déclare Jules Distave adjudicataire pour la somme de 1730 francs. Il était plombier-zingueur établi aux Trys d’Ohey. Il effectua le placement de nombreuses pompes-fontaines d’utilité publique. ""
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.103.

"" En 1950, l’eau de cette pompe n’était plus potable. Cette situation obligeait les habitants du quartier (de la place) à se rendre à une autre pompe qui se trouvait rue Pierre Froidebise (actuel n° 69), adossée au mur d'enceinte des anciennes écoles des soeurs. ""
Témoignage oral : Annie Dermiens

Informations sur Jules Distave : né à Marchin le 3-3-1876 et mort à Ohey le 12-5-1945, ce maître plombier-zingueur était réputé dans la région d’Ohey pour effectuer le placement et l’entretien de pompes. Il est venu s’installer à Ohey au début des années 1900. Dans la région, il restait en 1990 une dizaine de pompes placées par M. Distave, à restaurer.";Ohey;Ohey;Place Roi Baudouin + près de l'église;50.43583;5.12089;Ohey-Cat1.3-PompePlaceBaudouin-AD-01Ohey-Cat1.3-PompePlaceBaudouin-AD-02Ohey-Cat1.3-PompePlaceBaudouin-AD-03Ohey-Cat1.3-PompePlaceBaudouin-AD-04Ohey-Cat1.3-PompePlaceBaudouin-AD-05;Ohey-Cat1.3-PompePlaceBaudouin-AD
Pompe du Hinhin;""" Bien ancrée sur un socle calcaire, svelte pompe en fonte peinte du 19e siècle qui conserve l’intégralité de ses parties constituantes. Fut cannelé et étroit, composé de plusieurs sections annelées. Long bras courbe muni du mécanisme, accroché sous le couronnement, et bec cracheur maintenant l’ergot destiné à l’anse du seau. A l’arrière, taque d’ouverture fermant la chambre de visite. CS ""IPIC : 92097-INV-0091-01";Non vérifié;Ohey;Ohey;Rue du Berger + à en face des n°204-205;50.430235;5.121292;Ohey-Cat1.3-PompeHinhin-JD-01;
Pont du ruisseau du Bois d'Ohey;Pont en maçonnerie, signalé sur la rue par deux parapets en grès couverts de pierre calcaire, daté dans un cœur de 1867 sur la clé de la voûte ancienne. Celle-ci a été modifiée d'un côté par un tablier en béton armé.;Voir description;Ohey;Ohey;Rue du Bois d'Ohey + près du n° 308;50.4394;5.1075;Ohey-Cat18-PontBoisd'Ohey-OG-01Ohey-Cat18-PontBoisd'Ohey-OG-02Ohey-Cat18-PontBoisd'Ohey-OG-03Ohey-Cat18-PontBoisd'Ohey-OG-04;Ohey-Cat18-PontBoisd'Ohey-OG
Portail d'accès au château-ferme via jardin;""" A l’extrémité orientale du village, ancien château-ferme du 2e tiers du 18e siècle daté sur la porte de grange de 1740. Organisé en U autour d’une cour (...). Deux entrées bien différenciées permettentl’accès à l’ensemble. (…) ""IPIC : 92097-INV-0045-02 Cantonnée par deux piliers calcaire protégé par des chasse-roues, haute grille à deux ouvrants sous imposte fixe couronnée par une majestueuse frise.";Pas d'information trouvée;Ohey;Perwez;Rue du pré Magnette, 13;50.452536;5.174548;Perwez-Cat3.2-PortailChâteauFerme-AF-01àPerwez-Cat3.2-PortailChâteauFerme-AF-08;
Portail de grange du n°279 rue du Bois d'Ohey;"Portail calcaire en anse de panier, à claveaux passants un-sur-deux, sur piédroits chaînés. Clé millésimée "" 1896 "", entourée de deux agraphes. Porte piétonne ménagée dans l'un des deux battants en bois.";Non vérifié;Ohey;Ohey;Rue bois d'Ohey, 279;50.44109;5.44109;Ohey-Cat3.2-PortailBoisd'Ohey279-OG-01Ohey-Cat3.2-PortailBoisd'Ohey279-OG-02;Ohey-Cat3.2-PortailBoisd'Ohey279-OG
Portail de grange du n°45 route de Huy;""" A l’angle, ferme en long du 3e tiers du 19e siècle, principalement construite en deux étapes en moellons de grès et pierre calcaire sous un long toit (...) ""IPIC :  92097-INV-0097-01 Portail en anse de panier avec porte à deux battants, celui de gauche équipé d'une porte piétonne. Bas de l'ouvrant droit recouvert d'une tôle de protection. Traces de peinture rouge ancienne.";""" Ce hameau (Matagne) au sud de la localité s'est installé sur le 1er tige condruzien. Il est très ancien puisque le diverticulum romain Huy-Dinant le traversait et que dans sa plaine, en 1932, une campagne de fouilles révèle l'existence d'un cimetière mérovingien - 17 tombes (...) plusieurs habitations et fermes du début du XVIIIe siècle, offrent encore de magnifiques portes en façade (...) Enfin, l'endroit s'appelait encore "" Al Baurire "" : sur cette route importante, on percevait encore l'octroi en 1852 ! "" 
Source : article d'Adolphe Ronveaux dans le journal  "" La petite Gazette "" , sd.  ";Ohey;Haillot;Route de Huy, 45;50.436756;5.15056;Haillot-Cat3.2-PortailGrangeHuy45-MT-01Haillot-Cat3.2-PortailGrangeHuy45-MT-02;Haillot-Cat3.2-PortailGrangeHuy45-MT
Portail d'entrée de la ferme Beghin;S'ouvrant sur la cour de la ferme, simple portail calcaire à deux versants et à intrados cintré;Non vérifié;Ohey;Ohey;Rue du Château, 176;50.428023;5.127488;Ohey-Cat3.2-PortailEntréeFermeBeghin-JD-01Ohey-Cat3.2-PortailEntréeFermeBeghin-JD-02Ohey-Cat3.2-PortailEntréeFermeBeghin-JD-03;Ohey-Cat3.2-PortailEntréeFermeBeghin-JD
